id,location,brand,author,url,lang,date,original,sentiment_manu,sentiment_auto
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,Rajoy da una semana a Puigdemont para frenar la aplicaciç_n del artç_culo 155 Rajoy; durante su intervenciç_n ante el pleno del Congreso ayer por la tarde.,3,3
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,/ EFE El president deberç_ aclarar antes del lunes si ha declarado la independencia y tendrç_a hasta el jueves para revocar la secesiç_ NURIA VEGA Jueves; 12 octubre 2017; 01:29 No hay mç_s margen de maniobra.,2,2
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,El burofax con la firma de Mariano Rajoy que a media tarde llegç_ al Palau de la Generalitat concede una semana de plazo a Carles Puigdemont para precisar si çÈl o cualquier otra autoridad ha proclamado ya la independencia de Cataluç_a y; en caso afirmativo; rectificar el rumbo.,2,2
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,De no ser asç_; concluido el ultimç_tum; el Gobierno tocarç_ la puerta del Senado para poner en marcha el artç_culo 155 de la Constituciç_n.,3,3
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,__La respuesta que dçÈ el presidente catalç_n; marcarç_ el futuro de los acontecimientos__; advirtiç_ el jefe del Ejecutivo en una comparecencia extraordinaria.,3,3
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,En La Moncloa tuvieron la sensaciç_n de que habç_an superado __el vçÈrtigo__.La vç_a que ayer abriç_ el Consejo de Ministros; en principio; no es reversible.,3,3
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,El requerimiento que Rajoy enviç_ a Puigdemont es el paso previo que establece la Constituciç_n antes de que el Ejecutivo acuerde adoptar todas las medidas necesarias para __garantizar el orden constitucional; la convivencia y el normal funcionamiento de las instituciones__.,2,2
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,Sin desarrollo legal; el abanico de posibilidades al amparo del 155 es amplç_simo.,3,3
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,Tanto que el presidente prometiç_ ser __prudente__.Este precepto de la Carta Magna seç_ala el camino de una intervenciç_n parcial o total de la autonomç_a al reconocerle al Gobierno la capacidad de __dar instrucciones a todas las autoridades__ de una comunidad y de obrar para que esta cumpla sus obligaciones.,2,2
1,Euskadi,ElCorreo,Nuria Vega,http://www.elcorreo.com/politica/rajoy-semana-puigdemont-20171012233727-nt.html,Spanish,12,Es; en definitiva y segç_n jurisprudencia del Tribunal Constitucional; el __ç_ltimo recurso__ del Estado ante un __incumplimiento contumaz__.,1,1
